Generator_ID;efficiency;VOM;Unavailability;fuel_cost(euro/GJ);fuel_cost(euro/MWh);emissions(kg/GJ);emissions(kg/MWh);CO2 Price;Total cost
CCGT;0.55;1.6;0.22;7.9;28.44;57;205.2;0.085;85.02181818
Coal;0.4;3.3;0.24;2.37;8.532;94;338.4;0.085;96.54
Lignite;0.4;3.3;0.24;1.1;3.96;101;363.6;0.085;90.465
Nuclear;0.33;9;0.2;0.47;1.692;0;0;0.085;14.12727273
OCGT;0.4;1.6;0.22;7.9;28.44;57;205.2;0.085;116.305
Oil_shale;0.35;3.3;0.24;2.3;8.28;100;360;0.085;114.3857143
Oil_heavy;0.35;3.3;0.25;15.53;55.908;78;280.8;0.085;231.2314286
Oil_light;0.35;1.1;0.23;18.93;68.148;78;280.8;0.085;264.0028571
Battery;0.9;3.1;0;;;;0;0.085;3.1
PS_C;0.9;0;0;;0;;0;0.085;0
PS_O;0.9;0;0;;0;;0;0.085;0
PV;;0;0;;0;;0;0.085;#DIV/0!
RES;0.9;0;0;;0;;0;0.085;0
ROR;0.9;0;0;;0;;0;0.085;0
w_off;;0;0;;0;;0;0.085;#DIV/0!
w_on;;0;0;;0;;0;0.085;#DIV/0!
Other RES;1;0;0;0;0;0;0;;
Other Non RES;1;0;0;0;0;0;0;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
