,Node,ROR,Reservoir,PS_O,PS_C
0,AL00,0.0,1598.35,0.0,0.0
0,AT00,16.7647549183061,768.083,1731.8899999999999,1.8
0,BA00,0.81,1748.785,3.43,0.0
0,BE00,0.0,0.0,0.0,5.7
0,BG00,0.0,843.1608593812599,36.621538461538464,218.63575396825397
0,CH00,0.0,8155.0,0.0,670.0
0,CZ00,0.0,2.5,2.3,3.7
0,DE00,0.0,258.578021978022,416.75899999999996,608.1797889984642
0,ES00,0.55,11648.512501009998,5961.86,123.535
0,FI00,0.0,5530.0,0.0,0.0
0,FR00,0.0,10000.0,90.00000000000001,10.000000000000002
0,GR00,0.0,3600.0,4.5,3.5
0,HR00,3.9910000000000005,2045.9099999999999,18.3,0.0
0,HU00,0.0,0.0,0.0,0.0
0,IE00,0.0,0.0,0.0,1.72
0,ITCA,0.0,572.38,0.0,6.4
0,ITCN,0.0,186.97,0.0,0.0
0,ITCS,0.0,803.36,94.99,13.899999999999999
0,ITN1,0.0,3707.0,194.0,31.3
0,ITS1,0.0,153.79,0.0,3.6
0,ITSA,0.0,144.35,0.0,7.8
0,ITSI,0.0,81.25,20.39,7.4
0,LT00,0.0,0.0,0.0,10.6
0,LUG1,0.0,0.0,0.0,0.0
0,LUV1,0.0,0.0,0.0,5.0
0,LV00,16.0004,0.0,0.0,0.0
0,ME00,0.0,460.0,0.0,0.0
0,MK00,0.14,622.107,0.0,0.0
0,NL00,0.0,0.0,0.0,0.0
0,NOM1,0.0,0.0,8602.0,0.0
0,NON1,0.0,0.0,21301.0,0.0
0,NOS0,0.0,0.0,57328.0,0.0
0,PL00,0.0,0.8239799999999999,1.4982639999999998,6.341
0,PT00,6.4,1289.6,2017.8999999999999,0.0
0,RO00,0.0,2209.21,1032.8,0.0
0,RS00,0.0,646.0,0.0,254.0
0,SE01,0.0,14426.307,0.0,0.0
0,SE02,0.0,14798.598900000003,0.0,0.0
0,SE03,0.0,2635.0769999999998,0.0,0.0
0,SE04,0.0,71.35,0.0,0.0
0,SI00,0.0,0.0,0.0,2.596
0,SK00,29.005724699450003,0.0,45.54768380375,4.0995445
0,TR00,0.0,88200.0,0.0,0.0
0,UK00,0.0,0.0,0.0,26.380000000000003
