;0
Gas CCGT old 2 Bio;3.87
Lignite old 2 Bio;0
Nuclear;841.4268401
Other non-RES;397.7826726
Hard coal old 1 Bio;0.567199997
Gas OCGT old;158.069548
Gas CCGT old 1;81.4782
Oil shale new;2.812820473
Lignite old 1 Bio;0.883799995
Lignite old 2;55.37929602
DSR;346.645962
Oil shale new Bio;3.96
Other non-RES UK00 P;66.89061682
Battery;639.223797
Offshore Wind;1066.078987
Other non-RES DKW1 P;1.379
Gas CCGT present 2 CCS;0.64586
Gas CCGT new CCS;1.802752
Other non-RES FI00 P;15.48
Other non-RES DE00 P;78.47139844
PS Closed;377.3132397
Other non-RES DKE1 P;0.928200012
Gas conventional old 1;42.26360003
Other non-RES FR00 P;41.94159961
Hard coal new Bio;25.90416
Gas CCGT present 1 CCS;0.14852
Gas CCGT CCS;4.71
Hard coal old 2 Bio;32.843452
Gas CCGT old 2;333.5044
Gas CCGT present 1;332.8792801
Reservoir;979.6171961
Hard coal old 2;34.89419078
Lignite new;84.05653987
Heavy oil old 2;1.578
Other non-RES MT00 P;1.35
Hard coal new;122.8194
Gas CCGT new;516.3612721
P2G;30.15
Other RES;367.3704505
Run-of-River;601.2367899
Oil shale old;1.44
Solar Thermal;85.42870768
Gas OCGT new;144.2247201
Light oil;7.284239998
Onshore Wind;4294.809539
Lignite old 1;123.2900001
Gas conventional old 2 Bio;4.68
Heavy oil old 1 Bio;3.708
PS Open;559.4961199
Hard coal old 1;38.51639528
Solar PV;5028.157655
Gas conventional old 2;20.7122
Gas CCGT present 2;301.0684801
Heavy oil old 1;25.3002
